"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Nikita Filatov",2008,"2000s","Columbus Blue Jackets",6,"Top 10","RU","LW","Skater",53,14,1.40,"Brief NHL Career"
"Adam Bennett",1989,"1980s","Chicago Blackhawks",6,"Top 10","CA","D","Skater",69,11,2.80,"Brief NHL Career"
"Steve Kelly",1995,"1990s","Edmonton Oilers",6,"Top 10","CA","C","Skater",149,21,-1.10,"Brief NHL Career"
"Brian Finley",1999,"1990s","Nashville Predators",6,"Top 10","CA","G","Goalie",4,0,0.00,"Brief NHL Career"
"Dave Archibald",1987,"1980s","Minnesota North Stars",6,"Top 10","CA","C/LW","Skater",323,124,4.60,"Brief NHL Career"
"Jamie Drysdale",2020,"2020s","Anaheim Ducks",6,"Top 10","CA","D","Skater",105,40,4.50,"Brief NHL Career"
"Ron Jones",1971,"Pre-1980","Boston Bruins",6,"Top 10","CA","D","Skater",54,5,0.70,"Brief NHL Career"
"Cody Glass",2017,"2010s","Vegas Golden Knights",6,"Top 10","CA","C","Skater",74,23,1.50,"Brief NHL Career"
"Filip Zadina",2018,"2010s","Detroit Red Wings",6,"Top 10","CZ","RW","Skater",160,61,3.20,"Brief NHL Career"
"Daniel Tkaczuk",1997,"1990s","Calgary Flames",6,"Top 10","CA","C","Skater",19,11,1.20,"Brief NHL Career"
"Don Ashby",1975,"Pre-1980","Toronto Maple Leafs",6,"Top 10","CA","C","Skater",188,96,4.70,"Brief NHL Career"
"Rico Fata",1998,"1990s","Calgary Flames",6,"Top 10","CA","RW","Skater",230,63,2.30,"Brief NHL Career"
"Dan Woodley",1986,"1980s","Vancouver Canucks",7,"Top 10","United States","RW","Skater",5,2,0.20,"Brief NHL Career"
"Dylan Cozens",2019,"2010s","Buffalo Sabres",7,"Top 10","CA","C","Skater",120,51,2.80,"Brief NHL Career"
"William Eklund",2021,"2020s","San Jose Sharks",7,"Top 10","SE","LW","Skater",9,4,0.10,"Brief NHL Career"
"Alexander Holtz",2020,"2020s","New Jersey Devils",7,"Top 10","SE","RW","Skater",9,2,-0.20,"Brief NHL Career"
"Lias Andersson",2017,"2010s","New York Rangers",7,"Top 10","SE","C","Skater",109,17,-0.60,"Brief NHL Career"
"Lars Jonsson",2000,"2000s","Boston Bruins",7,"Top 10","SE","D","Skater",8,2,0.00,"Brief NHL Career"
"Kris Beech",1999,"1990s","Washington Capitals",7,"Top 10","CA","C","Skater",198,67,4.10,"Brief NHL Career"
"Alek Stojanov",1991,"1990s","Vancouver Canucks",7,"Top 10","CA","RW","Skater",107,7,-2.70,"Brief NHL Career"
"Ken Yaremchuk",1982,"1980s","Chicago Blackhawks",7,"Top 10","CA","C","Skater",235,92,1.60,"Brief NHL Career"
"Greg Vaydik",1975,"Pre-1980","Chicago Blackhawks",7,"Top 10","CA","C","Skater",5,0,-0.20,"Brief NHL Career"
"Tony Featherstone",1969,"Pre-1980","Oakland Seals",7,"Top 10","CA","RW","Skater",130,38,0.80,"Brief NHL Career"
"Brian Watts",1964,"Pre-1980","Detroit Red Wings",7,"Top 10","CA","LW","Skater",4,0,-0.10,"Brief NHL Career"
"Brandon Convery",1992,"1990s","Toronto Maple Leafs",8,"Top 10","CA","C","Skater",72,28,1.50,"Brief NHL Career"
"Jason Herter",1989,"1980s","Vancouver Canucks",8,"Top 10","CA","D","Skater",1,1,0.20,"Brief NHL Career"
"Nikita Alexeev",2000,"2000s","Tampa Bay Lightning",8,"Top 10","RU","RW","Skater",159,37,2.40,"Brief NHL Career"
"Lew Morrison",1968,"Pre-1980","Philadelphia Flyers",8,"Top 10","CA","RW","Skater",564,91,-6.30,"Brief NHL Career"
"Rocky Trottier",1982,"1980s","New Jersey Devils",8,"Top 10","CA","RW","Skater",38,10,0.20,"Brief NHL Career"
"Fred Arthur",1980,"1980s","Hartford Whalers",8,"Top 10","CA","D","Skater",80,9,2.20,"Brief NHL Career"
"Danny Geoffrion",1978,"Pre-1980","Montreal Canadiens",8,"Top 10","CA","RW","Skater",111,52,1.60,"Brief NHL Career"
"Alexandre Picard",2004,"2000s","Columbus Blue Jackets",8,"Top 10","CA","LW","Skater",67,2,-1.10,"Brief NHL Career"
"Zach Hamill",2007,"2000s","Boston Bruins",8,"Top 10","CA","C","Skater",20,4,0.20,"Brief NHL Career"
