"player","year","draft_era","team","overall_pick","pick_range","nationality","position","player_type","games_played","points","point_shares","career_tier"
"Brendan Gallagher",2010,"2010s","Montreal Canadiens",147,"Round 5+","CA","RW","Skater",638,381,47.50,"Solid NHL Player"
"Lee Stempniak",2003,"2000s","St. Louis Blues",148,"Round 5+","United States","RW","Skater",911,469,47.50,"Solid NHL Player"
"Ondrej Palat",2011,"2010s","Tampa Bay Lightning",208,"Round 5+","CZ","LW","Skater",628,423,47.00,"Solid NHL Player"
"Jaccob Slavin",2012,"2010s","Carolina Hurricanes",120,"Round 4","United States","D","Skater",508,208,46.90,"Solid NHL Player"
"Paul Cavallini",1984,"1980s","Washington Capitals",205,"Round 5+","CA","D","Skater",564,233,46.70,"Solid NHL Player"
"Jaroslav Modry",1990,"1990s","New Jersey Devils",179,"Round 5+","CZ","D","Skater",725,250,45.90,"Solid NHL Player"
"Mariusz Czerkawski",1991,"1990s","Boston Bruins",106,"Round 4","PL","RW","Skater",745,435,45.70,"Solid NHL Player"
"Anders Lee",2009,"2000s","New York Islanders",152,"Round 5+","United States","C","Skater",596,366,45.70,"Solid NHL Player"
"Viacheslav Fetisov",1978,"Pre-1980","Montreal Canadiens",201,"Round 5+","RU","D","Skater",546,228,45.30,"Solid NHL Player"
"Viacheslav Fetisov",1983,"1980s","New Jersey Devils",145,"Round 5+","SU","D","Skater",546,228,45.30,"Solid NHL Player"
"Anson Carter",1992,"1990s","Quebec Nordiques",220,"Round 5+","CA","RW","Skater",674,421,45.10,"Solid NHL Player"
"Anton Khudobin",2004,"2000s","Minnesota Wild",206,"Round 5+","KZ","G","Goalie",259,8,45.00,"Solid NHL Player"
"Anton Stastny",1978,"Pre-1980","Philadelphia Flyers",198,"Round 5+","SK","LW","Skater",650,636,45.00,"Solid NHL Player"
"Niklas Hjalmarsson",2005,"2000s","Chicago Blackhawks",108,"Round 4","SE","D","Skater",821,172,44.80,"Solid NHL Player"
"James Wisniewski",2002,"2000s","Chicago Blackhawks",156,"Round 5+","United States","D","Skater",552,274,44.80,"Solid NHL Player"
"Johnny Oduya",2001,"2000s","Washington Capitals",221,"Round 5+","SE","D","Skater",850,190,44.80,"Solid NHL Player"
"Philipp Grubauer",2010,"2010s","Washington Capitals",112,"Round 4","DE","G","Goalie",269,4,44.50,"Solid NHL Player"
"Dmitri Mironov",1991,"1990s","Toronto Maple Leafs",160,"Round 5+","RU","D","Skater",556,260,44.20,"Solid NHL Player"
"Risto Siltanen",1978,"Pre-1980","St. Louis Blues",173,"Round 5+","FI","D","Skater",562,355,44.20,"Solid NHL Player"
"Jason Demers",2008,"2000s","San Jose Sharks",186,"Round 5+","CA","D","Skater",699,214,44.00,"Solid NHL Player"
"Petr Mrazek",2010,"2010s","Detroit Red Wings",141,"Round 5+","CZ","G","Goalie",295,3,43.80,"Solid NHL Player"
"Brian Mullen",1980,"1980s","Winnipeg Jets",128,"Round 4","United States","RW","Skater",832,622,43.60,"Solid NHL Player"
"Andrew Ference",1997,"1990s","Pittsburgh Penguins",208,"Round 5+","CA","D","Skater",907,225,43.50,"Solid NHL Player"
"Brent Johnson",1995,"1990s","Colorado Avalanche",129,"Round 5+","United States","G","Goalie",309,10,43.20,"Solid NHL Player"
"Michal Handzus",1995,"1990s","St. Louis Blues",101,"Round 4","SK","C","Skater",1009,483,43.20,"Solid NHL Player"
"Tony Granato",1982,"1980s","New York Rangers",120,"Round 4","United States","RW","Skater",773,492,43.10,"Solid NHL Player"
"Vladimir Konstantinov",1989,"1980s","Detroit Red Wings",221,"Round 5+","RU","D","Skater",446,175,42.60,"Solid NHL Player"
"Damian Rhodes",1987,"1980s","Toronto Maple Leafs",112,"Round 4","United States","G","Goalie",309,7,42.50,"Solid NHL Player"
"Gustav Nyquist",2008,"2000s","Detroit Red Wings",121,"Round 4","SE","RW","Skater",652,401,42.40,"Solid NHL Player"
"Matt Moulson",2003,"2000s","Pittsburgh Penguins",263,"Round 5+","CA","LW","Skater",650,369,42.20,"Solid NHL Player"
"Bob Froese",1978,"Pre-1980","St. Louis Blues",160,"Round 5+","CA","G","Goalie",242,10,42.10,"Solid NHL Player"
"Martin Gerber",2001,"2000s","Anaheim Ducks",232,"Round 5+","CH","G","Goalie",229,7,41.70,"Solid NHL Player"
"Patrik Sundstrom",1980,"1980s","Vancouver Canucks",175,"Round 5+","SE","C","Skater",679,588,41.30,"Solid NHL Player"
"Ryan Callahan",2004,"2000s","New York Rangers",127,"Round 4","United States","RW","Skater",757,386,41.30,"Solid NHL Player"
"Darcy Tucker",1993,"1990s","Montreal Canadiens",151,"Round 5+","CA","RW","Skater",947,476,41.00,"Solid NHL Player"
"Dmitry Yushkevich",1991,"1990s","Philadelphia Flyers",122,"Round 4","RU","D","Skater",786,225,41.00,"Solid NHL Player"
